ID_NO,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
1,Georgia,Tifton,11/1/2007,TS 8031,11/20/2008,280,6.03,264,318,5320.75,643.4475153,20.58125727,15.692693,26.19026488,0.672213199
2,Georgia,Midville,2/21/2008,GA-505,11/17/2010,333,3.82,711,0,4679.45,599.974,22.71674641,15.692693,26.19026488,0.180691337
3,Georgia,Tifton,11/1/2007,Attention II,12/7/2009,329,5.43,563,192,5320.75,599.974,20.58125727,17.93699802,48.91021473,0.116674048
4,Georgia,Tifton,2/21/2008,PGI 909,11/20/2008,341,2.39,657,246,5320.75,599.974,20.58125727,24.28064266,41.88230765,0.116674048
5,Georgia,Tifton,11/1/2007,Attention II,11/20/2008,312,3.91,264,0,3841.49,828.7339306,20.58125727,15.692693,31.00351197,0.116674048
6,Georgia,Tifton,2/21/2008,BaraWet 501,12/7/2009,333,6.03,691,260,4742.94,730.5409431,20.58125727,15.692693,38.24727704,0.18790332
7,Georgia,Midville,11/1/2007,Attention II,11/11/2008,319,3.6,264,288,5233.3,701.4929502,24.89663552,23.57910338,26.19026488,0.204761252
8,Georgia,Tifton,2/21/2008,TS 8031,11/20/2008,341,2.27,558,102,3740.05,640.4890495,112.0683034,15.692693,33.07622644,0.116674048
9,Georgia,Tifton,2/21/2008,Attention II,11/17/2010,309,3.6,1000,364,4557.6,810.0881405,20.58125727,15.692693,36.32439571,0.116674048
10,Georgia,Midville,2/21/2008,Bara 503,8/14/2009,341,4.31,655,293,5320.75,1323.896,33.18935718,15.692693,26.19026488,0.546678422
11,Georgia,Tifton,11/1/2007,GA-505,11/11/2008,318,6.03,650,390,5320.75,704.8227811,22.93722929,15.692693,26.19026488,0.396056951
12,Georgia,Tifton,2/21/2008,Bulldog 805,11/11/2008,289,3.95,616,295,5319.2,599.974,20.58125727,15.692693,26.19026488,0.116674048
13,Georgia,Midville,2/21/2008,BaraWet 501,12/7/2009,339,3.62,740,264,5022.32,599.974,20.58125727,15.692693,26.19026488,0.183501135
14,Georgia,Midville,2/21/2008,BaraWet 501,11/11/2008,341,2.27,264,390,5320.75,599.974,20.58125727,34.27179713,26.19026488,0.12147991
15,Georgia,Tifton,2/21/2008,Bulldog 805,11/20/2008,303,6.03,1000,300,5250.35,1235.28397,20.58125727,15.692693,26.19026488,0.116674048
16,Georgia,Midville,11/1/2007,GA-505,11/17/2010,341,5.29,1000,330,4332.05,599.974,20.58125727,15.692693,113.6162368,0.116674048
17,Georgia,Midville,2/21/2008,Hybri Force 700,11/17/2010,341,2.27,559,278,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.187783639
18,Georgia,Midville,11/1/2007,CW 36106,8/14/2009,329,2.27,264,327,3783.05,645.6545084,118.1918912,105.9888866,87.23306278,0.116674048
19,Georgia,Midville,11/1/2007,GA-505,12/7/2009,288,3.95,600,364,5290.55,804.5964668,68.3901873,15.692693,26.19026488,0.606680081
20,Georgia,Midville,2/21/2008,Bulldog 805,11/11/2008,318,3.82,505,5,4041.42,1088.723402,138.9297511,105.9888866,51.461272,0.206050612
21,Georgia,Midville,2/21/2008,Hybri Force 600,11/20/2008,314,4.33,828,229,5320.75,761.5865413,20.58125727,15.692693,26.19026488,0.116674048
22,Georgia,Midville,2/21/2008,Attention II,8/14/2009,306,4.08,633,357,4490.51,736.589914,33.71451986,51.55445708,70.06091342,0.116674048
23,Georgia,Tifton,2/21/2008,GA-505,11/17/2010,333,4.24,536,352,4570.26,821.7564187,20.58125727,15.692693,26.19026488,0.130031503
24,Georgia,Tifton,11/1/2007,Attention II,8/14/2009,313,2.27,264,113,5320.75,599.974,20.58125727,15.692693,176.8482793,0.116674048
25,Georgia,Midville,2/21/2008,Attention II,11/11/2008,341,4.21,397,315,3979.52,599.974,20.58125727,30.40537782,28.40827529,0.116674048
26,Georgia,Midville,11/1/2007,Attention II,11/17/2010,339,4.59,264,193,4041.11,599.974,20.58125727,15.692693,176.8482793,0.170070323
27,Georgia,Tifton,2/21/2008,TS 8031,11/11/2008,298,2.27,425,0,5320.75,599.974,111.2204883,25.3411787,27.23443586,0.116674048
28,Georgia,Midville,2/21/2008,CW 36106,11/11/2008,306,4.08,560,232,3917.81,599.974,20.58125727,105.9888866,26.19026488,0.256933052
29,Georgia,Midville,11/1/2007,GA-505,8/14/2009,264,4.34,1000,289,5320.75,702.7399463,24.4885562,95.96392313,39.41810426,0.611847546
30,Georgia,Midville,2/21/2008,GA-505,11/20/2008,318,6.03,633,355,5320.75,599.974,20.58125727,72.76583155,26.19026488,0.116674048
31,Georgia,Midville,2/21/2008,GA-505,8/14/2009,341,4.89,546,390,5320.75,669.0932824,20.58125727,15.692693,26.19026488,0.285908821
32,Georgia,Tifton,2/21/2008,BaraWet 501,12/7/2009,333,2.27,762,320,5156.49,682.475188,20.58125727,15.692693,26.19026488,0.116674048
33,Georgia,Tifton,11/1/2007,Hybri Force 600,11/17/2010,341,3.58,737,310,4617.53,599.974,22.70693292,61.43727376,116.0091504,0.171690675
34,Georgia,Tifton,2/21/2008,BaraWet 501,11/11/2008,328,2.75,483,390,4377.48,609.5535461,20.58125727,103.5970776,26.19026488,0.235833037
35,Georgia,Tifton,2/21/2008,Attention II,8/14/2009,330,3.41,920,0,4730.72,599.974,98.45854441,19.55925923,26.19026488,0.116674048
36,Georgia,Tifton,2/21/2008,Hybri Force 600,11/17/2010,272,2.92,671,0,5320.75,626.5407538,59.24726828,20.95253062,26.19026488,0.116674048
37,Georgia,Tifton,2/21/2008,Bara 503,11/20/2008,226,3.27,291,390,5320.75,599.974,71.88537802,15.692693,26.19026488,0.417935547
38,Georgia,Midville,11/1/2007,CW 36106,11/11/2008,333,4.33,264,390,4766,601.0814251,46.71464014,15.692693,26.19026488,0.207009147
39,Georgia,Tifton,2/21/2008,PGI 801,11/11/2008,331,6.03,618,389,5320.75,632.2020828,20.58125727,15.692693,26.19026488,0.470062491
40,Georgia,Midville,11/1/2007,Bara 503,11/17/2010,322,3.34,596,366,4013.51,599.974,20.58125727,93.82799796,26.19026488,0.452423969
41,Georgia,Tifton,2/21/2008,Hybri Force 600,11/11/2008,325,5.41,726,365,5308.93,800.4664643,20.58125727,15.692693,26.19026488,0.116674048
42,Georgia,Midville,2/21/2008,CW 36106,8/14/2009,341,5.65,1000,236,5320.75,599.974,20.58125727,15.692693,26.19026488,0.16154924
43,Georgia,Tifton,2/21/2008,PGI 801,11/20/2008,334,4.33,812,390,5320.75,871.2350138,20.58125727,15.692693,26.19026488,0.334841252
44,Georgia,Midville,2/21/2008,CW 36106,11/17/2010,315,3.22,377,390,5320.75,633.5846525,20.58125727,15.692693,26.19026488,0.672213199
45,Georgia,Midville,11/1/2007,Attention II,8/14/2009,298,4.16,264,175,3492.23,1055.934445,31.98079208,15.692693,33.64606764,0.116674048
46,Georgia,Tifton,2/21/2008,Bara 503,11/17/2010,307,2.27,670,0,5320.75,599.974,20.58125727,28.24737366,125.2314154,0.135842278
47,Georgia,Midville,11/1/2007,GA-505,11/11/2008,329,5.93,264,0,4075.98,599.974,30.69132453,22.00529556,26.19026488,0.116674048
48,Georgia,Midville,11/1/2007,GA-505,11/17/2010,331,3.44,705,0,3400.1,661.1206659,20.58125727,23.69242363,26.19026488,0.116674048
49,Georgia,Tifton,2/21/2008,BaraWet 501,12/7/2009,325,3.54,563,25,5320.75,764.4862215,34.93719641,15.692693,26.19026488,0.191833031
50,Georgia,Midville,2/21/2008,BaraWet 501,11/11/2008,313,4.2,457,0,4499.17,599.974,20.58125727,15.692693,26.19026488,0.116674048
51,Georgia,Midville,2/21/2008,BaraWet 501,11/17/2010,303,4.84,633,42,5320.75,649.5445221,49.44183819,19.56014504,92.10450507,0.116674048
52,Georgia,Midville,2/21/2008,GA-505,11/17/2010,228,4.15,312,195,3409.62,599.974,20.58125727,30.13520605,36.71596637,0.116674048
53,Georgia,Midville,11/1/2007,GA-505,12/7/2009,330,2.27,264,0,5068.75,611.9474137,20.58125727,15.692693,26.19026488,0.188774369
54,Georgia,Tifton,2/21/2008,Bulldog 805,11/11/2008,226,2.9,646,0,5202.99,599.974,20.58125727,83.40621931,26.19026488,0.556210589
55,Georgia,Tifton,11/1/2007,Attention II,12/7/2009,226,6.03,264,155,4187.18,709.4429516,30.40364792,15.692693,26.19026488,0.116674048
56,Georgia,Tifton,2/21/2008,PGI 909,11/17/2010,270,4.2,795,132,5320.75,785.0614909,20.58125727,15.692693,26.19026488,0.116674048
57,Georgia,Tifton,2/21/2008,Attention II,11/17/2010,326,2.27,837,390,5320.75,610.6925673,30.10434318,21.00541871,26.19026488,0.253811751
58,Georgia,Midville,11/1/2007,GA-505,11/11/2008,324,5.52,783,45,5320.75,1051.347417,53.41766159,15.692693,26.19026488,0.157884974
59,Georgia,Tifton,11/1/2007,BaraWet 501,12/7/2009,309,6.03,504,0,5281.06,748.9448704,20.58125727,15.692693,26.19026488,0.116674048
60,Georgia,Tifton,11/1/2007,PGI 909,11/11/2008,315,5.48,658,289,4340.59,958.0009534,20.58125727,36.77872165,36.07084168,0.473863518
61,Georgia,Tifton,11/1/2007,PGI 801,11/17/2010,302,3.47,345,152,3494.76,599.974,20.58125727,67.99103147,26.19026488,0.116674048
62,Georgia,Midville,2/21/2008,PGI 801,12/7/2009,233,3.04,710,151,4253.41,607.0139668,20.58125727,16.49641779,26.19026488,0.116674048
63,Georgia,Midville,2/21/2008,Hybri Force 700,12/7/2009,328,5.75,701,332,5320.75,1149.826896,108.8159104,39.60677181,73.44107253,0.143248407
64,Georgia,Midville,2/21/2008,CW 36106,11/17/2010,292,2.87,551,0,3647.27,692.153648,20.58125727,15.98728856,96.54713318,0.121525954
65,Georgia,Midville,2/21/2008,Attention II,8/14/2009,336,2.73,648,390,3905.85,726.0023237,20.58125727,15.692693,33.90893268,0.12788738
66,Georgia,Tifton,2/21/2008,GA-505,8/14/2009,240,2.27,527,285,3400.1,599.974,67.68641682,26.13291828,26.19026488,0.168448193
67,Georgia,Tifton,2/21/2008,PGI 801,8/14/2009,226,3.85,970,206,4460.5,663.45369,20.58125727,30.41717029,26.19026488,0.116674048
68,Georgia,Tifton,2/21/2008,PGI 909,12/7/2009,341,5.54,660,44,4008.73,603.5348282,120.7942213,15.692693,167.2338418,0.116674048
69,Georgia,Tifton,11/1/2007,Attention II,12/7/2009,317,6.03,1000,0,3966.49,737.9146421,42.23436234,105.9888866,50.68026515,0.18210271
70,Georgia,Tifton,2/21/2008,Hybri Force 700,8/14/2009,297,3.87,297,267,4852.37,599.974,34.97603738,25.49263486,26.19026488,0.116674048
71,Georgia,Tifton,11/1/2007,GA-505,11/11/2008,341,6.03,351,390,4213.71,666.1542438,20.58125727,15.692693,26.19026488,0.116674048
72,Georgia,Midville,2/21/2008,PGI 909,11/11/2008,341,6.03,735,364,4287.74,662.3713791,20.58125727,17.07072608,26.19026488,0.168598652
73,Georgia,Midville,2/21/2008,Bulldog 805,11/20/2008,341,6.03,623,82,4499.01,599.974,20.58125727,19.57151998,26.19026488,0.116674048
74,Georgia,Tifton,2/21/2008,TS 8031,12/7/2009,335,2.63,777,0,5320.75,599.974,20.58125727,15.692693,26.19026488,0.128592181
75,Georgia,Tifton,11/1/2007,Hybri Force 700,11/11/2008,341,3.67,1000,227,5320.75,689.2727117,28.85264842,15.692693,26.19026488,0.116674048
76,Georgia,Tifton,2/21/2008,Bara 503,11/11/2008,335,4.37,1000,390,5320.75,1296.73185,33.78495978,16.46000845,26.30609154,0.138234755
77,Georgia,Tifton,2/21/2008,PGI 909,11/20/2008,338,4.92,561,0,3558.05,599.974,106.3603034,105.9888866,26.19026488,0.116674048
78,Georgia,Tifton,2/21/2008,PGI 801,11/11/2008,339,2.98,543,0,5319.73,634.4122098,36.67318817,15.692693,26.19026488,0.116674048
79,Georgia,Midville,2/21/2008,PGI 801,11/17/2010,245,2.27,587,0,4027.66,715.989341,20.58125727,15.692693,26.19026488,0.62836007
80,Georgia,Tifton,11/1/2007,Hybri Force 700,11/20/2008,232,3.16,695,24,3504.09,704.4351803,20.58125727,105.9888866,53.4399681,0.116674048
81,Georgia,Tifton,2/21/2008,PGI 801,11/20/2008,316,2.27,551,371,3914.76,625.9113638,24.81472284,86.95358088,26.19026488,0.511497898
82,Georgia,Tifton,2/21/2008,PGI 801,11/11/2008,327,4.95,513,0,5320.75,599.974,20.58125727,24.45440644,26.19026488,0.198195333
83,Georgia,Tifton,11/1/2007,BaraWet 501,11/11/2008,303,5.7,264,347,4045.59,619.9793435,20.58125727,15.692693,26.19026488,0.116674048
84,Georgia,Midville,2/21/2008,TS 8031,11/20/2008,325,4,264,111,4102.22,599.974,23.08717417,16.89091058,26.19026488,0.116674048
85,Georgia,Tifton,11/1/2007,BaraWet 501,11/17/2010,310,4.57,264,0,4141.94,1231.401163,20.58125727,105.587299,26.19026488,0.248516327
86,Georgia,Tifton,11/1/2007,Hybri Force 600,12/7/2009,226,4.11,937,278,3558.65,599.974,20.58125727,76.12609185,26.19026488,0.116674048
87,Georgia,Tifton,11/1/2007,BaraWet 501,8/14/2009,319,5.96,660,0,3665.91,691.6990371,21.4224625,15.692693,26.19026488,0.116674048
88,Georgia,Tifton,11/1/2007,Hybri Force 700,12/7/2009,312,6.03,494,187,4480.76,687.1520519,20.58125727,15.692693,26.19026488,0.116674048
89,Georgia,Tifton,11/1/2007,Attention II,12/7/2009,341,3.27,596,378,5320.75,719.9413423,20.58125727,105.9888866,38.89117888,0.116674048
90,Georgia,Tifton,2/21/2008,Bulldog 805,8/14/2009,278,4.14,287,210,4923.26,843.6703179,37.09654327,105.9888866,26.19026488,0.116674048
91,Georgia,Midville,2/21/2008,Bulldog 805,12/7/2009,325,6.03,610,371,4381.8,599.974,22.78234939,15.692693,26.56117242,0.116674048
92,Georgia,Midville,2/21/2008,TS 8031,11/11/2008,336,3.78,264,289,3400.1,745.504326,37.64631925,15.692693,35.0283901,0.147388091
93,Georgia,Tifton,11/1/2007,CW 36106,11/20/2008,341,6.03,549,390,5320.75,892.0995036,20.58125727,77.87392953,26.19026488,0.157006225
94,Georgia,Midville,2/21/2008,GA-505,11/20/2008,311,3,322,390,5307.12,753.8830743,138.9297511,15.692693,28.06836543,0.116674048
95,Georgia,Midville,2/21/2008,Hybri Force 600,11/17/2010,334,4.4,969,373,5320.75,1323.896,43.07904896,15.692693,39.44409786,0.116674048
96,Georgia,Midville,2/21/2008,Hybri Force 700,8/14/2009,316,5.17,600,390,4562.54,666.0804117,30.47530017,15.692693,26.19026488,0.126963223
97,Georgia,Tifton,2/21/2008,Attention II,8/14/2009,341,4.88,309,390,5320.75,1323.896,52.59629628,105.9888866,26.19026488,0.116674048
98,Georgia,Tifton,2/21/2008,GA-505,12/7/2009,319,3.79,1000,390,5320.75,730.5068699,49.85726308,62.66125561,26.19026488,0.128597582
99,Georgia,Midville,2/21/2008,Bara 503,12/7/2009,341,4.09,457,390,5320.75,760.0401888,20.58125727,22.52597754,26.19026488,0.116674048
100,Georgia,Midville,2/21/2008,Hybri Force 700,12/7/2009,341,3.41,538,390,5320.75,795.5953146,43.06503891,84.13897604,33.68694517,0.116674048
